Reviews,Rating
AMAZING Hotel &Staff !,5
"An amazing 5 star hotel, fantastic staff and beautiful scenery!",5
True Paradise,5
Vacation,5
Amazing place,5
Wonderful vacation at atrium palace,5
Superb hotel,5
Another outstanding visit to the Atrium Palace,5
Peaceful and friendly hotel,5
Super,5
Fantastic Hotel,5
Worth every penny ,5
Just Relax and enjoy,5
"The Service , The Service, The Service.",5
Mr,5
"Great hotel, family friendly, fantastic staff.",5
Spectacular ,5
"Great hotel, fabulous location and fantastic staff!",5
Joe and Sharon Colleran ,5
LET'S JUST TELL IT LIKE IT IS!,5
one week vacation in Rhodos,5
Beautiful Travel,5
Excellent Hotel.  Geniune 5*,5
Atrium Palace Restaurant !!,5
Fantastic hotel and wonderful food,5
Place to relax again and again!,5
Amazing place!!!!!!!! small paradise!!!!!!!,5
definitely going back,5
Fantastic hotel,4
Excellent stay,5
Went for a friends wedding,4
"Great holiday, great staff.",4
Revisited a much better experience ,5
Brilliant ,5
Good hotel,4
"Delightful, tranquil and Greek gem",5
Many thanks for good service,5
perfect holidax,5
Bra för alla! Good for everybody! ,5
Excellent,5
Excellent Hotel,5
4th perfect time in Atrium,5
a 5 star holiday experience,5
Wonderful Hotel,5
very nice holiday,5
A fantastic hotel,5
Our second visit to wonderful Atrium,5
these people are wonderful and do their utmost to enable you to have a perfect holiday brilliant!,5
Fantastic hotel!,5
Thanks palace.. thanks Kostas,4
August Break,4
Wonderful week in Rhodes,5
Vacation,5
Great Holidays ,5
First Class,5
just relaxed!,5
Incredible resort in perfect place,5
Hotel Atrium Palace did not disappoint us again.,5
Relaxing sun break,5
Excellent Hotel! My husband and I really loved this beautiful hotel! The welcome as you arrive was excellent! Everything,5
Real 5 star hotel,5
Best holiday in September,5
Fantastic,5
Fantastic Holiday,5
Fabulous holiday,5
Deeply relaxing!,5
Lovely Holiday,4
Quality and relax in friendly atmosphere ,5
"Amazing hotel, lovely pool areas, bars and restaurants",5
Fantastic Holiday,5
"Thoroughly enjoyable place, made by the people",4
"Lovely hotel, friendly staff",5
Lives up to the rating,5
The Friendliest Staff,5
Memorable vacations!!!!,5
Great facilities but staff attitude is bad ,3
wedding vow renewal,5
Past its prime,2
Excellent location and prices,5
An oasis,4
Lovely Week,5
Fantastic second visit,5
Heaven,5
Wonderful hotel,5
Fantastic holiday,5
September 2015,4
Relaxing vacation ...,5
Wonderful food ran by enthusiastic staff,5
Holiday in Paradise!!,5
Green oasis on the coast,5
gorgeous,5
Not very many children there,4
The place to come back,4
amazing holiday,5
Another wonderful holiday at Atrium Palace,5
Excellent Hotel and staff from Clements/Clowsley families,5
"Great hotel, let down by main bar staff",4
We loved it,5
Disappointed ,3
Isolated,3
Relaxation only 5 mins from the best nightlife!,5
Animation,5
Great holiday,5
Animation Team,5
"friendly, first class facilities ,great staff.!!!",5
Beautiful Hotel and superfriendly people,5
Animation Team,5
"Friendly, helpful, cheerful staff !!",5
Wonderfully relaxing holiday,5
"Atrium Palace Thalasso, Rhodes",5
Top class facilities and great staff!,5
Absolutely Faboulus,5
"Friendly, helpful, cheerful staff",4
Excellent hotel to spend a holiday.,5
Excellent accessible resort in lush surroundings.,5
Top class holiday-hotel-facility,5
Beautiful Hotel!,4
amazing,5
Beautiful with Good nice perfect service,5
Great place to stay!,5
Impressaions from my stay in July 2015,5
Great room and food but so huge and impersonal.,4
Brilliant holiday !,5
Nice hotel but too big for our taste,4
Can't wait to go back,5
Will be going back,5
 Favorite hotel where we stayed for over a month👍🏻,5
Highly recommended hotel,5
To do again!,4
Strongly advisable!,5
Great holiday,5
Fantastic hotel & excellent staff,5
Couldn't have wished for a better wedding,5
"Excellent service, Warm hospitality, great holidays!",5
Paradise,5
Mr taylor,5
Wonderful place... and people,5
Really lovely stay,5
Wonderful stay,5
Pretty good but not 5 star,4
Amazing Place,5
Very nice hotel for familiy vacation,5
Atrium  Palace,5
Excellent for families ,5
Great,5
A 44 TH WEDDING ANNIVERSARY for two weeks,5
A fantastic hotel in every way!,5
"Lovely hotel, beautifully kept gardens",4
A great family holiday,4
Lovely holiday!,5
Totally relaxing,5
"Beautiful Hotel, great spa, animation team made our holiday",5
Our perfect holiday place,5
atrium palace,5
best vacation,5
Take villa:),5
5 star resort 10 star staff.,5
The hotel is beautiful!,5
Hit and miss,3
Staff make this hotel special,5
Great Holiday - welcoming & friendly staff,4
A beautiful relaxing hotel - highly recommend,5
Atrium palace ,5
20th wedding anniversary & joint birthdays,5
had a great holiday,5
Lovely hotel,5
"Great hotel, great location",5
The Trip of a Lifetime,5
Ms A Mcgregor,5
Atrium palace - May 2015,3
A wonderful place for your Greek holidays!,5
"Great staff, needs refurb",3
July 2015,5
superb accomodation and excellent staff,5
Mixed feelings....,3
Absolutely Fantastic 5* Hotel,5
Excellent all round holiday.,5
Return to Lindos after many years,5
excellent facility with enthusiastic and friendly staff,5
"Good hotel but more 4,5*",4
Simply the Best!,5
Great Hotel For A Large Group,4
Good hotel ! great staff !,5
fantastic,5
Great experience!!!!!!,5
Usual story - simply EXCELLENT!!!!!,5
Wonderful experience ,5
"A better than Good hotel, but not amazing....",4
Atrium Palace - Repeater,5
Lovely hotel,4
Atrium Palace - 2nd Visit,5
excellent,5
Relax in a luxury setting,4
Peaceful and Beautiful Hotel,5
Excellent experience,5
Truly a five-star hotel,5
Not 5 star experience ,3
Two week holiday June 2015,5
Beautiful holiday!,5
Family Wedding in Lindos,5
The prettiest complex ever!,5
Girls exciting holiday!!!,5
BRILLIANT !!!,5
Relaxing Holiday,5
Beautiful hotel with amazing staff,5
Fantastic holiday and wedding!,5
Return to a favourite hotel,5
Atrium Palace...True Five Star Paradise In Every Way!! Yet Again!!.,5
ABSOLUTELY WONDERFUL!!,5
"Hotel and ""MO VI DA""",4
"Good Hotel, Great Staff but can improve on certain aspects",4
Great Hotel,5
A great place to stay!,5
OK But Could Do Better,3
Wedding Anniversary,5
You make me smile!!,5
Wonderful holiday,4
Couldn't ask for more! ,5
One of the most relaxing holidays ever!!,5
Wedding holiday,5
Atrium palace - near lindos ,4
Lovely hotel,5
Wonderful hotel and excellent service!,5
Nice hotel but question the 5 stars?,4
Right choice!,5
Perfect holiday,5
Excellent hotel and service to match,4
First Class Hotel and Service,5
Yorkshirelass,5
A First Class Hotel,5
Atrium Palace - Best holiday ever!,5
Brilliant Family Holiday/wedding,5
Wedding ,4
Awesome Experience!,5
dream Wedding at Atrium Palace,5
We enjoyed! Thank you!!!!,5
Waiters amazingly despising and jaunty,3
Great Hotel,5
Amazing honeymoon at a fabolous resort!,5
An amazing hotel and very friendly staff,5
Unforgettable stay,5
"Top Resort, Top Service, Top (gentle) animation, Top Bars",5
"A wonderful, and much needed, break",4
Relaxig hotel with friendly staff,5
Sadie Bechara (Australia),5
Idyllic week,5
Excellent  in every way,5
A well-managed and relaxing resort hotel with friendly staff,5
Atrium Palace Lindos,5
Couldn't be better,5
Great Family vacation,5
Lovely hotel for a relaxing break,4
2nd honeymoon,5
What a way to spend a week.,5
Great staff service in all areas,5
Excellent Spa,5
Atrium palace expereince,5
bride's mum,5
Nice,4
"Stunning , fabulous , two weeks of bliss",5
Another fantastic holiday! ,5
Best Rhodes experience so far,5
Quite far from town...,3
Holiday among friends!,5
Fantastic - Nothing is too much trouble,5
Fabulous,5
Perfect Wedding!!,5
awesome Hotel,5
Lovely relaxing holiday,4
Very very nice ,4
"Beautiful hotel, friendly staff",5
More positives than negatives,4
"Wow, Wow and Wow again!!!!",5
Nitty Gritty Check List....,5
Palace in Rhodes,5
Good Place for Vacation,5
Fabulous Holiday!,5
"Relax, they've got it covered",5
Outstanding,5
Very nice place to spend relaxing days,4
The staff make the difference to this hotel,5
Perfect holiday like always!!!,5
Holidays in may,5
Great hotel that lives up to its description,5
Brilliant week and we will return next year.,5
Very peaceful and nice hotel,5
Fantastic Resort in Every Way!,5
What a wonderful friendly hotel,5
What a fantastic experience... Excellent! ,5
wonderful wedding,5
The best hotel and The best beach in Rhodes,5
"What a lovely hotel, perfect in every way!",5
Top Hotel on Rhodes!,5
Comfortable luxury hotel,4
Thank you Atrium for all! ),5
wonderful holiday,5
Thenk you,5
The hotel and staff are simply the best (-:,5
Amazing Hotel,5
great staff,5
FANTASTIC,5
Lovely,5
Amazing place amazing memories,5
3d time in Atrium,4
Great Hotel,5
Recent Holiday - Rhodes - Mr & Mrs D Marston - Room 416,5
Wonderful Holiday,5
Excellent place to relax in comfort,5
As good as ever!,5
Very good for family vacation,5
STUNNING,5
Repeater,5
Lovely resort in a beautiful location,5
Great City Break,5
"Excellence, Rhodes Style!",5
"Simply ""THE BEST"" written by returning guests!!!",5
Great vacation,5
Lovely holiday!!!,5
Wonderfull place with professional stuff!,5
wonderfull holiday,5
Thank you for the perfect Vacation!,5
Perfekt place for relax,5
Wonderful place,5
Loved our stay at the atrium palace,5
Great Hotel,5
'Atrium Palace' for a reason,5
First visit to Rhodes,4
Great Hotel,5
Mostly excellent,4
Very Nice Hotel,5
Worth the money !,4
Thank you.You are all WONDERFUL,5
Relaxing Hotel,4
Refreshing Relaxation Resort,5
First wedding anniversary made very special by all the staff at Atrium Palace!!,5
Pool Bar Atrium Palace Hotel Rhodes,5
Ok,3
Very charming hotel with a beautiful garden and friendly personnel!,4
World Class Service at a World Class Hotel,5
Sweet holiday!!!,5
Brilliant!!,5
Awsome,5
Harry and Janet from Hartlepool,5
Best hotel on Rhodes,5
awesome,5
Perfect for Big Families,5
Perfect Relaxing Honeymoon!!,5
Ideal place for holiday,5
What a wonderful Hotel!!!,5
Great hotel!,4
Another wonderful visit,5
marvelous hotel and staff,5
This is paradise!,5
perfect!,5
"Fantastic hotel with friendly, genuine people! Perfect!",5
Not a good hotel !,5
Great holiday experience,5
Five stars in all respects,5
Close to perfect!,5
The best of the best,5
very good hotel,5
Would go back in a second!,5
Excellent vacation!,5
Great holiday at the Atrium Palace Hotel,5
Good hotel but not five star,4
Our wedding at the Atrium,5
Nice Hotel no Internet,3
Wonderful Atrium!!!,5
Thank you,4
20th to 26th aug 2014,5
Atrium Palace August 2014,4
Beautiful honeymoon,5
Just returned from atrium palace,3
3ds visit rhodes,5
Thanks,4
Good hotel but ...,4
Fantastic Holiday! :),5
Well planned hotel,5
Very good hotel holiday BUT!!!,4
Atruim Palace - 7th visit,5
"Ian, Hampshire",5
True 5 Star Hotel and Service,5
2nd to 10 august 2014.,5
Fantastic!,5
Great holiday,5
Fantastic stay at Atrium Palace,5
Holiday,5
Great Holiday but potential serious issue with pool safety,4
Amazing holiday! Best ever!,5
Overall a great stay!,4
Definitely NOT 5 star.,3
Very professional service.,5
A Beautiful Hotel,5
First few days,4
AMAZING! i want to go back!!!,5
A truly unforgettable holiday,5
Fabulous holidays,5
Lovely staff,4
Fabulous Greek Hospitality,5
excellent vacation,5
5 stars hotel (:,5
Amazing,5
"BEAUTIFUL HOTEL, FANTASTIC STAFF",5
Very welcoming and caring staff in a beautiful spotless happy hotel,5
Excellent,5
"Relaxing, great service",5
"Friendly, good quality and great location",5
Great Holiday,5
Wonderful holiday,5
Wonderful Hotel,5
Excellent customer service at this hotel,4
Atrium Exceeds Expectations....,5
an execlent hotel choice,5
An all round 5 star experience,5
The best for All Inclusive.,5
Lovely swimming pools and gardens.,4
Perfect hotel,5
"Eava R. ""Holidays of our dreams""",5
Booked through Secret Escapes - fantastic hotel.,4
Not five star,3
Wonderful caring attitude combined with perfect food for a Vegetarian!,5
Beautiful hotel and amazing wedding,5
"Amazing Atrium Palace & Spa Resort, Rhodes.",5
my vacations in the hotel Atrium Palace Thalasso Spa Resort & Villas,5
Service as it should be!,5
Wonderful Wedding & All-Inclusive Stay,5
"Good hotel,good service, good food",5
Amazing! I have no words,5
Lovely,5
Amazing hotel.....deff 5 stars,5
Great holiday for a fussy family of 5 adults,5
Excellent holiday - staff are exceptional,5
Well above our expectations,5
great hotel,5
An amazing place!!!!,5
What to come back every summer!!,5
fab,5
Atrium palace thalasso spa and resort,5
A very relaxing 10 days ....,4
True Paradise (Atrium Palace Hotel) Is The Best!!,5
Wedding guest 2014,5
Very cool food and service,5
Love it!,5
Great service! Excellent,5
paradise in Lindos,4
Great vocation,4
Great hotel,5
excellent holiday,5
Excellent hotel,5
Great experiance,5
Wonderful place,5
Superb Hotel,5
Seven years with Atrium Palace,5
We would definitely return,4
A dream that became true,5
A good hotel,5
"outstanding , nothing any trouble  , jenny",5
Excellent hotel,5
5 Star with a family ethos,5
A fanatstic 5 * resort - food and service brilliant,5
Not 5 Star,2
Great Holiday,4
"In 25 years of holidays, my best one yet.",5
Excellent Hotel outstanding staff,5
Friendly staff and relaxing surroundings,5
Beautiful Hotel,5
wonderful holiday,5
A holiday to remember!,5
Amazing wedding and fantastic holiday,5
Amazing stay!,5
Beautiful!,5
Derrick and sue Lancashire,5
Truly amazing staff and food but dated hotel let's them down...,3
Good but not perfect.,4
"Amazing Hotel, Staff & Area!! AA**",4
Incredible weekend,5
Amazing vacation!!!,5
Great hotel value for money!,5
Fantastic holiday,5
A Relaxing Escape,5
"elaine s. ""beautiful relaxing hotel""",5
What is there not to like?,5
Impossible to beat,5
Remote but relaxing,4
Highly recommended!,5
Great hotel,5
Superb Hotel,5
The place where you fall in love with Rhodes!!!!!,5
Lovely hotel,5
what a relaxing place,5
Excellent and relaxing vacations,5
what a wonderful place to stay,5
Relaxing Chilled Out Week Holiday,5
Good but not great,3
The perfect holiday,5
Excellent,5
FIVE STAR ACCOMODATION 2 STAR SERVICE,2
Atrium Palace - Easter,3
Great Hotel,5
A lovely stay,5
"Good food, nice pools, friendly staff, rather isolated, poor beach",4
Paradise!,5
A great 2 weeks,4
This place is just wonderful - never felt so relaxed on holiday in my life,5
""" perfection in every way """,5
Again very good,4
Perfect for a relaxing getaway,4
Fantastic stay!,5
Great hotel!!!,5
Had a dream wedding,5
Unforgettable spectacular hotel!,5
Excellent,5
Wonderfull holiday,5
Good relax,5
Lovely hotel,4
Atrium palace wedding,5
"Lovely hotel, but don't go there if you don't like cats",3
Great Hotel,5
Good but definitely a 4* not 5*,3
"Large, yet pretty, comfortable and well organized",5
real 5*,5
worth coming back,5
Paradise,5
"Our Honeymoon at the Atrium palace , Kalathos Jason and Charlotte Hawkes",5
Excellent,5
JUST SUPER!!!!,5
Lovely Palace,5
LOVELY HOTEL,4
"Lovely place, amazing people.",5
"Excellent hotel, Super Pani!",5
Another great holiday at the Atrium Palace!,5
Amazing place with friends as a staff,5
`Repeaters Review`,5
Amazing holiday and wedding.,5
The big thank to Atrium Palace Thalasso Spa Resort & Villas,5
You’d like to come back here again and again…,5
Atrium Palace at Kalathos Rhodes,5
an unforgettable wedding in Atrium Palce hotel,5
Summer luxury,5
Wonderful,5
Great Stay,5
returning trip,5
vocation,5
Nice Hotel - Nice Holiday,5
Fantastic holiday!! highly recommended,5
Fourth time :-) About time I popped in a good word!,4
Amazing place to recharge and enjoy family,4
Overrated,2
Good place!,4
beautiful hotel,5
Another great holiday at the Atrium Palace!,5
Хороший отель!,5
Beautiful hotel and we were well looked after!,5
"Overall a pleasant stay, but...",4
Great vacation,5
An amazing holiday made even better by some incredible staff,5
a very very good hotel,5
Best place for wonderful vacation,5
The best hotel what i had been ever,5
Outstanding hotel experience,5
WEEK HOLIDAY FROM 7TH TO 14TH JULY 2013. Fam. Franchini Italy,5
Great summer holiday!,5
A simply amazing holiday!,5
"""Ant""rium Palace!",3
Very nice hotel but wifi is awful and let's it down!,4
"Fantastic Resort, Great Experience And Location!",5
Excellent holiday's,5
Hotel was a perfect choice for us,4
Brilliant holiday fantastic hotel,5
Our wonderfull Holiday at the Atrium Palace Rhodos,5
Nice vacation in Rhodos,5
Best memories of holiday!,5
The best vocation in Atrium Pallas in July 2013 !,5
марина из минска,4
Beautiful summer !,5
The place you want to be back,5
Hoilday at Atrium Palace 4-11/7/13,5
Really enjoyed this hotel,5
Only average,3
Do not be fooled by the great photography,2
Fantastic Relaxing Holiday!,5
Lovely staff 4-5 star,4
Great experience at this fine resort,5
We struck lucky!,5
Great hotel,5
Comfortable but lacks atmosphere,3
Wow yet again for 5 * Atrium Palace...,5
Fantastic relaxing holiday....even with a 2 year old,4
Rhodes experience,4
wedding and holiday review,5
"cold food,slow bar service at times",4
A wonderful 7 days staying !,5
Birthday at the Atrium Palace,5
Fantastic hotel & spa,4
Back again!,4
"Excellent Hotel, Great Wedding",5
Excellent stay,5
"Atrium Palace, Kalathos, Rhodes",4
A trip to see a good friend,5
Still as good as last year,5
AMAZING HOTEL,5
Perfection,5
Top Drawer,5
fabulous,5
One word.........Excellent!!,5
Outstanding Resort,5
"Not 5 star, not well maintained, service so-so",3
Real authentic and warm greek hospotality,5
Excellent,5
Beautiful hotel with the most outstanding staff.,5
Great friendly service,5
"Great hotel, lovely pools, so-so beach",5
Fantastic,5
Great pool ! - but poor location and beach,4
Wedding at Atrium Palace,4
Nice place to stay,4
Great with family and kids,5
Great Deal.,5
Top Hotel for our holiday and Daughters Wedding,5
Good for family with kids!,5
Will be back,4
Nice hotel but its in the back of beyond!,3
Want a beautiful hotel experience??,5
What a great hotel.,5
Beautiful Hotel set in fantastic surroundings,5
Pani 5*****,5
Atrium Palace (WOW),5
Relaxing holiday on the beach,5
Very nice hotel,5
Excelent 5*,5
fantastic,5
Wonderful hotel - thanks to the staff,5
Rhodes - island of dreams,5
Stunning hotel with great PADI diving courses!,5
By Greek standards this is a five star but in all intense and purposes it a four,4
atrium palace,4
Lovely Hotel,4
perfect for a lovely relaxing holiday (even for one!),5
Perfect Wedding At The Atrium Palace,5
a nice relaxing break,5
perfect holiday!!!,5
Relaxing holiday by the pool,4
"An amazing family holiday, stunning hotel resort and such friendly staff!",5
"5 start aspiration, 1 star delivery",1
Happy relaxing stay,5
Disappointing!,3
Excellent Hotel !!!!,5
"Average hotel - 3.5 star accomodation, 2 star food",3
4 star with 5 star elements but relaxing and good value with excellent  Milos taverna nearby,4
Great stay,4
Excellent hotel.......,5
Hotel staff are superb and professional,5
Great all round experience,5
Excellent hotel outstanding service and value for money,5
Wonderful Stay,5
Not as perfect as the pictures and write ups!,3
"Fantastic Hotel, Fantastic service!",5
Fantastic hotel,5
very good but too expensive,4
Flop and drop for 1w,5
Great weeks holiday!  Thank you Atrium Palace,4
Tired but authentic and removed from the fray,3
Excellent Hotel / Holiday,5
"Our wedding, amazing venue and holiday, but...",5
Superb hotel,5
Last minute - Best Visit,5
atrium palace a true palace,5
Escaping the Great British Summer,5
Fantastic hotel,5
"Fantastic hotel, amazing staff!",5
The first days of our holiday.,5
"Fabulous holiday, fantastic staff",5
Lovely!,4
We have struggled to find anything wrong with this place....and we are fussy !,5
Wonderful Staff at the Atrium Palace,5
Great Hotel!,5
Nice place but ....,3
"Wow, wow, wow.",5
our first holiday with atrium palace - wow!,5
Fantastic Facilities,5
Wonderful Hotel,5
Fantastic resort and spa :-),5
5 Star Excellence,5
Wedding Venue Atrium Palace,5
Unimpressed to date,3
Pani - You make Tom Cruise in Cocktail look nothing. =),4
"Beautiful hotel, excellent service",5
AMAZING.....,5
What a great place,5
"''Perfect, relaxed holidays''",5
Good but could be better,4
First Holiday in Rhodes,5
Great but some annoying bits,3
lovely holiday nearly,4
We'll go again,4
Brilliant,5
Really Lovely,5
The Best Time EVER,5
Perfect stay at a 5* hotel with a personal touch,5
Rhodes Holiday June 2012,4
Fabulous!!,5
Atrium in June,5
Disappointed,3
Fantastic holiday,5
Relaxing Holiday - Will return,5
excellent,5
Good impressions!,5
Great family vacation!,5
very good,5
A good hotel but there's probably better for the price.,3
"Atrium Palace, Kalathos, Rhodes - it's 5* but not as we know it",2
Holiday and Wedding,5
Fantastic week enjoyed by five adults,5
Wonderful holiday and wedding,4
Atrium palace 1 week stay,5
Wonderful holiday,4
The perfect place to relax,5
A beautiful experience,5
What a great hotel,5
Atrium palace,5
Another great holiday at the Atrium Palace!,5
Fantastic hotel,5
Lovely hotel,5
Great hotel and lovely service,5
Bank holiday weekend,5
A brilliant holiday hotel,5
One of the best,5
"Lovely hotel, nice food and drinks",5
Brilliant hotel with fantastic staff!,5
Would Return,5
chilled out,5
Not a 5* hotel - not worth the money,2
Fabulous hotel,5
Amazing hotel and staff!!,5
Great Holiday at the Atrium  Palace,5
Not all together pleased,3
"Great service, wonderful pools, beautiful beaches...",5
"A fantastic,relaxing hotel with a personal touch",5
Great value and a fantastic stay!,5
All you need to know including 7pm drinks!,5
Great Holiday,5
The lobster special dinner at the Asteria restaurant,5
"Memorable holiday, highly recommend!!",5
Perfect trip,5
ABSOLUTELY AMAZING!,5
Wonderful holiday! 3rd - 10th May,5
May 2012 - fantastic would definitely go back,5
Fabulous resort!,5
5*!!! More like 3* !!,2
Time share folks would love this place,5
Holiday In May,5
Not 5 star but good value for money,3
Superb!,5
We had one of the best times ever!,5
Really Lovely holiday,5
"""the best hotel ever""!!!!!!!!!!!!!!!",5
"Picture perfect hotel with friendly staff, amazing food and great atmosphere.",5
Excellent Accommodation and Friendly People,5
Wonderful week,5
The pool defines it,4
Great place to stay in Rhodes,5
Special holiday destination,5
Relaxing break,5
Could be better,3
Fabulous Holiday!,5
Very nice hotel,5
Wedding at Atrium,4
We had a fantastic Wedding & holiday here,5
Poor location but very nice.,3
Very Relaxing,4
Thank you for a memorable holiday,5
Check this out,5
Wedding and holiday with family and friends,5
Will return to this hotel for another holiday!,5
fantastic,5
Family Holiday and Wedding,4
Far from supposed 5 star,3
Pure delight,5
Special Ocassion,5
More good points than bad,5
Honeymoon trip,5
Very Impressed!,5
Atrium Palace Rhodes,5
Marvelous!!,5
Not too good really,3
"""Fantastic holidays""",5
----------------Honeymoon ---------!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
BEAUTIFUL HOTEL,5
A wonderful hotel,5
"Wedding Bliss, but hotel on the decline.",3
Not 5*,3
Lovely hotel,5
give me everything tonight!,5
Had a lovely holiday,4
Great place to relax.,4
Excellent,5
Panis is great,5
Can not fault anything! Perfect place for a wedding,5
Lovely pool area but not 5 star....,3
Fantastic wedding at a fantastic hotel,5
excellent holiday,5
relaxing and child friendly,5
Two weeks of sunbathing and books - perfect!,5
Extremely disappointing,2
Villa + pool = excellent!,4
"Fantastic time, and we are now so relax",5
Brilliant!,5
Good Time Had By All,4
A Mixed Bag,4
Returned for the 5th time,5
"Superb stay, we have been twice and will go back again",5
Best holiday we have had,5
Lovely hotel and great holiday,5
"Lovely Holiday, Just What We Were Looking For",5
"Nice hotel, great staff, good food, poor entertainment.",5
we had the great time and definetely sure we come back!!:):),5
Very pleasant relaxation,5
great family hotel,5
Only let down by one thing - otherwise brilliant,4
Great place and great people,5
We will be back!,5
Very nice hotel!,5
The Best Holidays ever at Atrium Palace,5
Would definitely recommend it,5
amazing...!,3
"We had a great time, very relaxing",4
Absolutely Fantastic,5
Lovely grounds & hotel with friendly staff,4
"Pretty good, but not sure I'd return (from the queen of fussy)!",4
LOVELY HOLIDAYS,5
Old-fashioned hotel,3
Good but not Great,4
WARNING DO NOT STAY AT THE ATRIUM PALACE RODES!!!!,3
Lovely Hotel but not quite 5 star,4
mixed feelings,4
2nd Visit and still liked it,4
Most amazing place for a wedding venue & holiday,5
You will have a good time!,4
Honeymoon,5
No complaints with hotel but location isolated,4
Brilliant,5
Lovely holiday in a lovely hotel.,4
lovely hotel terrible management and staff,3
The best hotel i have stayed in 12 months,5
Booked surprise  holiday for my parents - they had an AMAZING time!,5
"Mixed Bag - some great, some average.",3
"Good, but let down by rooms and dinner",3
Beautiful Bliss,5
"Fab room, excellent service, good food, great facilities",5
Brilliant quality hotel right near beach!!!,5
Had a great time,4
Fabulous environment for children and adults alike!,5
A very relaxing break,4
Agree its not 5* but still had a great holiday,4
Perfect location for our wedding,5
perfect,5
Super family experience,4
Good resort hotel,4
Great time and my daughter and son-in-law had their dream wedding!!!,5
Definately not a 5* hotel !,3
"A lovely hotel, but not five star.",4
Fantastic!,5
Very well presented hotel,4
3 * Hotel CHARGING 5 * Prices ! NOT ALL THAT !,1
Loved every Minute!!,5
well worth a visit,5
Fantastic wedding - Perfect Setting!!,4
Wedding and Honeymoon at Atrium Palace!,5
Nice and Relaxing,5
Definitely not 5*!,3
We stayed in the atrium In June for our...,5
Hot but Happy,5
You got to me kidding - this place is a dump- who would have a wedding here???,1
MY PERFECT WEDDING,5
Best hotel ever.,5
Perfect Wedding at Atrium Palace,5
Great holiday!!!,5
poor customer service,1
Lovely Hotel and Great Service.,5
Lovely hotel but not a 5 star,3
Excellent,5
stunning hotel!!,4
Nice hotel with big annomalies.,4
Daughters perfect wedding,5
Fanatatic hotel for your wedding,5
The most amazing experience ever,5
Wonderful Wedding,5
Beautiful,5
brilliant holiday,5
"Lovely Hotel, Friendly Staff, Very Clean, Ideal for relaxing by the pool",4
a little gem of luxuary where you wouldn't expect it.,5
Not a 5* hotel...,2
3/3+* Posing as a 5*,2
Good for the money - but hire a car,4
"Fantastic, well recommended",5
Fantastic!,5
Great hotel,5
What an experience - our wedding week,5
"Asterias Restaurant, Atrium Palace, a great place for a wedding reception",4
What did it say on the tin?,3
"If you plan to get married in Rhodes, pls read this review!!",2
Very mixed review,4
"Amazing, wonderful and friendly",5
"5 Star Hotel, 2 Star Room",3
Great relaxing break but not the best 5 star we have stayed at,4
Reasonably priced...great food!,4
Very Nice!,4
Fabulous - we loved it!,5
One of the best hotels to stay,5
The perfect holiday and wedding!,5
Our Dream Wedding,5
Best two weeks of our lives!!!,5
A dream wedding made perfect by the staff at the Atrium Palace.,5
Peaceful location and relaxing hotel.,4
Wedding Anniversary surprise with superb attention to detail.,5
Most relaxing holiday ever....,5
Very nice gardens,4
First class!,5
Very good hotel,4
Possibly our best holiday ever,5
Best Holiday!,5
Perfect setting for my wedding,5
Lovely setting for a wedding,4
Don't get married at this hotel!,3
What an amazing place to have a wedding!,5
A very pleasant place to stay,5
Not a 5 star,3
Did not disappoint,4
Good but definetly not 5 star,4
five star public areas but not the rooms,3
A tropical paradise with a couple of buts,5
Definitely not 5 Star,2
Lovely Hotel,4
Great hotel,4
Nice hotel - but not 5 star,3
lovely hotel but in th middle of nowhere,4
great venue for a wedding!,4
Excellent good relaxing hotel,5
Nice holiday!,4
Good but not Exceptional,3
Best place in Greece,5
Fabulous Hotel – and an Earthquake thrown in for free,5
Loved every minute of our stay.,5
Greek hospitality at its best !,5
Great Location for Lindos,4
"Lovely weather, slightly disappointed in hotel",3
Hotel was nice but some annoying bits,3
Love the Atrium Palace,5
Satisfied in every aspect,5
Short honeymoon stay (part one of two),5
Great hotel,5
an oasis in every sense,4
Just what we needed,5
"Good, but not 5 star",3
A wonderful relaxing hotel,5
Not 5 Star,3
Honest opinion,3
A Hidden Gem,5
Completely Changed.,3
Wedding,4
Impressive!,5
Wow - What a fantastic hotel,5
Wonderful Hotel,5
Awesome hotel,5
Lovely setting for a beautiful wedidng,4
"Superb Hotel...Superb Staff....Superb Food..Great Beach, etc, etc",5
A pleasant suprise,4
Renewel Of Our Wedding Vows,5
Wonderful Hotel,5
Our famiily loved the hotel,5
Perfect holiday and wedding venue.,5
Relaxing Holiday,4
Be aware,2
Fab Hotel,5
Definately a five star location for a wedding,5
Almost 5 star,4
Excellent hotel,5
Lovely time at the Palace July 07,4
A Gem of a Palace!,5
beautiful hotel - can't wait to go back!,5
returning this year,5
Dream Wedding!,5
beautiful,5
GREAT GREEK EXPERIENCE,5
very good,4
Perfect Greek Getaway,4
Disappointed with our stay at the Atrium Palace in Oct 06,3
A very nice hotel,4
Beautiful Hotel,5
Absolute Bliss,5
very smart clean hotel,4
Definitely not 5 star!,2
Wonderful Hotel,5
Beautiful but  badly managed(?),2
This was not 5 star quality.....,2
Great for a Quiet and Relaxing Vacation,4
Nice but not 5 Star,4
very good for this kind of hotel,4
